Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K,density_kg_m3,mass_flow_kg_s
348,4094000,441500000,62150000.0,1699000.0,9150.0,1.488e-14,45210,6360000,1099.58,1097.35,1.4879999999999998e-11,2.337344934270806e-10
349,4078000,434800000,60500000.0,1647000.0,8803.0,1.462e-14,45170,6270000,1099.58,1097.41,1.4619999999999997e-11,2.2965042297741385e-10
350,4063000,428100000,58880000.0,1597000.0,8471.0,1.436e-14,45120,6182000,1099.58,1097.46,1.4360000000000001e-11,2.2556635252774717e-10
351,4047000,421500000,57320000.0,1549000.0,8150.0,1.411e-14,45080,6095000,1099.58,1097.51,1.4109999999999999e-11,2.2163936171075991e-10
352,4031000,415100000,55790000.0,1502000.0,7842.0,1.386e-14,45030,6009000,1099.58,1097.56,1.3860000000000001e-11,2.177123708937727e-10
353,4016000,408700000,54300000.0,1456000.0,7546.0,1.362e-14,44990,5924000,1099.58,1097.61,1.3619999999999999e-11,2.1394245970946492e-10
354,4000000,402500000,52860000.0,1412000.0,7261.0,1.338e-14,44950,5841000,1099.58,1097.66,1.338e-11,2.1017254852515718e-10
355,3985000,396300000,51450000.0,1369000.0,6987.0,1.315e-14,44900,5759000,1099.58,1097.7,1.315e-11,2.0655971697352892e-10
356,3969000,390300000,50090000.0,1328000.0,6723.0,1.292e-14,44860,5678000,1099.58,1097.75,1.292e-11,2.0294688542190067e-10
357,3954000,384300000,48760000.0,1287000.0,6469.0,1.27e-14,44810,5598000,1099.58,1097.79,1.27e-11,1.994911335029519e-10
358,3939000,378400000,47460000.0,1248000.0,6225.0,1.248e-14,44770,5520000,1099.58,1097.84,1.2479999999999999e-11,1.9603538158400308e-10
359,3923000,372700000,46200000.0,1211000.0,5991.0,1.226e-14,44730,5443000,1099.58,1097.88,1.226e-11,1.9257962966505433e-10
360,3908000,367000000,44970000.0,1174000.0,5765.0,1.205e-14,44680,5366000,1099.58,1097.92,1.205e-11,1.8928095737878505e-10
361,3893000,361400000,43780000.0,1138000.0,5548.0,1.184e-14,44640,5292000,1099.58,1097.96,1.184e-11,1.8598228509251574e-10
362,3878000,355900000,42620000.0,1104000.0,5339.0,1.164e-14,44590,5218000,1099.58,1098.0,1.164e-11,1.82840692438926e-10
363,3863000,350400000,41490000.0,1071000.0,5138.0,1.144e-14,44550,5145000,1099.58,1098.04,1.144e-11,1.796990997853362e-10
364,3849000,345100000,40390000.0,1038000.0,4944.0,1.124e-14,44510,5073000,1099.58,1098.07,1.124e-11,1.765575071317464e-10
365,3834000,339800000,39320000.0,1007000.0,4758.0,1.105e-14,44460,5003000,1099.58,1098.11,1.105e-11,1.7357299411083609e-10
366,3819000,334700000,38280000.0,976500.0,4579.0,1.086e-14,44420,4933000,1099.58,1098.15,1.086e-11,1.705884810899258e-10
367,3804000,329600000,37260000.0,947000.0,4407.0,1.067e-14,44380,4865000,1099.58,1098.18,1.067e-11,1.676039680690155e-10
368,3790000,324500000,36280000.0,918400.0,4242.0,1.049e-14,44330,4797000,1099.58,1098.21,1.0489999999999999e-11,1.6477653468078464e-10
369,3775000,319600000,35320000.0,890700.0,4082.0,1.031e-14,44290,4731000,1099.58,1098.25,1.0310000000000001e-11,1.6194910129255386e-10
370,3761000,314700000,34380000.0,863800.0,3929.0,1.014e-14,44250,4665000,1099.58,1098.28,1.014e-11,1.5927874753700252e-10
371,3746000,310000000,33470000.0,837800.0,3781.0,9.965e-15,44200,4600000,1099.58,1098.31,9.965e-12,1.5652985396511147e-10
